95;164;120;"1/2"
95;192;122;"1"
95;270;122;"1/4"
95;202;120;"1"
95;239;1;"6 "
95;227;120;"1/4"
95;248;1;"Ground "
96;236;127;"3/4"
96;1;127;"3/4"
96;238;127;"3/4"
96;255;1;
96;165;1;
97;316;1;"5 cl"
97;203;1;"1 cl"
97;153;109;"1"
98;324;125;"1"
98;35;125;"1/2"
98;117;125;"1"
98;226;125;"1"
99;183;120;"1/2"
99;227;119;"3"
99;213;18;"13"
99;184;19;"3/4"
99;192;122;"1"
99;324;122;"1"
99;248;1;
100;258;127;"3/4"
100;1;127;"1 1/2"
100;254;127;"3/4"
100;309;122;"1"
100;320;122;"1/4"
100;273;1;"1 "
101;36;118;"60"
101;282;1;"1"
101;216;1;"3 cl"
102;183;1;"6 "
102;227;120;"1/4"
102;270;122;"1/4"
102;184;20;"1"
102;192;122;"1"
103;37;1;"2 oz"
103;38;127;"3/4"
103;274;127;"1/2"
104;39;118;"750"
104;227;120;"1/2"
104;285;1;"8 oz"
104;264;127;"2-3"
105;226;21;"1/2"
105;184;120;"1/2"
105;227;122;"1-2"
106;323;127;"1/2"
106;135;127;"1/2"
106;275;127;"2"
107;1;127;"1 1/2"
107;227;94;"2"
107;320;127;"1 1/2"
107;176;22;"4"
107;263;1;"1 "
107;198;1;"1 "
108;271;127;"2"
108;147;127;"1/2"
108;322;1;"Juice of 1/4 "
108;282;1;"Juice of 1/2 "
108;322;116;"1"
108;282;116;"1"
109;295;23;"1"
109;185;1;"1 "
109;262;75;"4"
109;296;24;"1/2"
109;321;1;"6 "
110;316;1;"2 oz"
110;186;122;"1"
110;40;1;"3"
110;41;25;"1"
110;311;112;"2"
110;250;1;"Top"
111;329;26;"1"
111;285;120;"1"
111;227;119;"2"
111;322;1;"1 "
111;286;1;"1 "
111;317;1;"1 L "
111;321;1;
112;314;127;"1/2"
112;312;127;"1/2"
112;316;127;"1/2"
113;226;1;"1/2 "
113;160;1;"1/2 "
114;324;121;"2"
114;42;125;"1"
114;43;125;"1"
114;283;1;"Juice of 1/2"
114;288;1;"Top"
115;316;128;"4.5"
115;44;128;"1.5"
115;45;128;"1.5"
116;1;1;"1 oz"
116;46;1;"1 oz"
116;238;1;"1 oz"
116;172;1;"1"
117;1;127;"2"
117;289;127;"1/2"
118;244;127;"1 1/2"
118;289;119;"1"
118;281;127;"1 1/2"
118;227;122;"1"
118;273;1;"1 "
118;321;76;"1"
119;295;120;"1"
119;47;120;"1"
120;48;127;"1/2"
120;49;127;"1/2"
120;230;109;"1"
121;260;127;"1"
121;238;127;"1"
121;209;109;"1"
121;153;122;"1/4"
122;166;127;"1 1/2"
122;323;127;"3/4"
123;323;127;"1"
123;316;127;"1"
123;307;98;"1"
123;50;127;"1"
123;301;127;"1"
124;312;42;"1/4"
